concept_code,concept_name,total_records,mapped_pct
161744009,Past pregnancy history of miscarriage,114,0.0
267020005,H/O: tubal ligation,57,0.0
399261000,History of coronary artery bypass grafting,39,0.0
446654005,Refugee,38,0.0
428251008,History of appendectomy,27,0.0
399211009,History of myocardial infarction,22,0.0
6525002,Dependent drug abuse,21,0.0
1290882004,History of seizure,21,0.0
161665007,History of renal transplant,12,0.0
108631000119101,History of autologous bone marrow transplant,6,0.0
